timestamps,TP9,AF7,AF8,TP10
1660571259.786,-892.578,-846.191,959.961,679.688
1660571259.790,629.395,622.559,963.867,652.832
1660571259.794,-751.953,-710.449,960.449,416.016
1660571259.798,-1000.000,-1000.000,785.156,300.781
1660571259.802,312.012,0.000,688.477,426.270
1660571259.806,-853.516,-808.105,653.809,552.734
1660571259.809,619.141,479.980,582.031,508.301
1660571259.813,-725.098,-857.422,654.785,342.773
1660571259.817,-1000.000,-1000.000,761.230,177.246
1660571259.821,109.863,-168.945,741.211,218.262
1660571259.825,-933.594,-978.516,683.105,343.750
1660571259.782,648.438,444.824,966.309,551.270
1660571259.786,-892.578,-846.191,959.961,679.688
1660571259.790,629.395,622.559,963.867,652.832
1660571259.794,-751.953,-710.449,960.449,416.016
1660571259.798,-1000.000,-1000.000,785.156,300.781
1660571259.802,312.012,0.000,688.477,426.270
1660571259.806,-853.516,-808.105,653.809,552.734
1660571259.809,619.141,479.980,582.031,508.301
1660571259.813,-725.098,-857.422,654.785,342.773
1660571259.817,-1000.000,-1000.000,761.230,177.246
1660571259.821,109.863,-168.945,741.211,218.262
1660571259.825,-933.594,-978.516,683.105,343.750
1660571259.842,886.719,984.863,703.125,315.918
1660571259.846,-310.059,-221.680,640.137,227.051
1660571259.850,-1000.000,-1000.000,551.270,98.633
1660571259.854,-96.680,-146.484,673.340,27.344
1660571259.858,-956.055,989.258,767.578,102.539
1660571259.862,945.801,-935.059,628.906,124.023
1660571259.866,-165.039,115.234,640.137,-12.695
1660571259.869,-1000.000,-1000.000,610.352,-192.383
1660571259.873,-229.492,-346.191,569.336,-132.812
1660571259.877,978.516,931.641,608.398,53.711
1660571259.881,-944.824,-901.367,496.094,143.555
1660571259.885,74.219,211.426,419.922,105.469
1660571259.842,886.719,984.863,703.125,315.918
1660571259.846,-310.059,-221.680,640.137,227.051
1660571259.850,-1000.000,-1000.000,551.270,98.633
1660571259.854,-96.680,-146.484,673.340,27.344
1660571259.858,-956.055,989.258,767.578,102.539
1660571259.862,945.801,-935.059,628.906,124.023
1660571259.866,-165.039,115.234,640.137,-12.695
1660571259.869,-1000.000,-1000.000,610.352,-192.383
1660571259.873,-229.492,-346.191,569.336,-132.812
1660571259.877,978.516,931.641,608.398,53.711
1660571259.881,-944.824,-901.367,496.094,143.555
1660571259.885,74.219,211.426,419.922,105.469
1660571259.842,886.719,984.863,703.125,315.918
1660571259.846,-310.059,-221.680,640.137,227.051
1660571259.850,-1000.000,-1000.000,551.270,98.633
1660571259.854,-96.680,-146.484,673.340,27.344
1660571259.858,-956.055,989.258,767.578,102.539
1660571259.862,945.801,-935.059,628.906,124.023
1660571259.866,-165.039,115.234,640.137,-12.695
1660571259.869,-1000.000,-1000.000,610.352,-192.383
1660571259.873,-229.492,-346.191,569.336,-132.812
1660571259.877,978.516,931.641,608.398,53.711
1660571259.881,-944.824,-901.367,496.094,143.555
1660571259.885,74.219,211.426,419.922,105.469
1660571259.887,-1000.000,-1000.000,480.957,-130.859
1660571259.891,-359.863,-446.289,539.551,-99.121
1660571259.895,936.523,903.809,555.176,47.852
1660571259.899,-924.805,-885.742,547.852,67.871
1660571259.903,64.941,151.367,495.117,-36.133
1660571259.907,-1000.000,-1000.000,464.844,-208.984
1660571259.911,-467.773,-275.879,430.176,-208.496
1660571259.914,836.426,972.168,334.473,-74.707
1660571259.918,-886.719,-917.480,178.223,-52.246
1660571259.922,93.750,155.762,6.836,-139.160
1660571259.926,-1000.000,-1000.000,-87.402,-234.863
1660571259.930,-872.070,-950.195,-183.594,-239.258
1660571259.887,-1000.000,-1000.000,480.957,-130.859
1660571259.891,-359.863,-446.289,539.551,-99.121
1660571259.895,936.523,903.809,555.176,47.852
1660571259.899,-924.805,-885.742,547.852,67.871
1660571259.903,64.941,151.367,495.117,-36.133
1660571259.907,-1000.000,-1000.000,464.844,-208.984
1660571259.911,-467.773,-275.879,430.176,-208.496
1660571259.914,836.426,972.168,334.473,-74.707
1660571259.918,-886.719,-917.480,178.223,-52.246
1660571259.922,93.750,155.762,6.836,-139.160
1660571259.926,-1000.000,-1000.000,-87.402,-234.863
1660571259.930,-872.070,-950.195,-183.594,-239.258
1660571259.887,-1000.000,-1000.000,480.957,-130.859
1660571259.891,-359.863,-446.289,539.551,-99.121
1660571259.895,936.523,903.809,555.176,47.852
1660571259.899,-924.805,-885.742,547.852,67.871
1660571259.903,64.941,151.367,495.117,-36.133
1660571259.907,-1000.000,-1000.000,464.844,-208.984
1660571259.911,-467.773,-275.879,430.176,-208.496
1660571259.914,836.426,972.168,334.473,-74.707
1660571259.918,-886.719,-917.480,178.223,-52.246
1660571259.922,93.750,155.762,6.836,-139.160
1660571259.926,-1000.000,-1000.000,-87.402,-234.863
1660571259.930,-872.070,-950.195,-183.594,-239.258
1660571259.932,351.074,285.645,-287.598,-143.555
1660571259.936,-806.641,-803.711,-411.621,-30.762
1660571259.940,260.742,518.066,-384.277,29.297
1660571259.944,-999.512,-805.176,-258.789,-61.035
1660571259.948,-1000.000,-1000.000,-528.809,-83.496
1660571259.952,65.918,-100.098,-916.504,34.180
1660571259.956,-816.406,-811.523,-1000.000,166.504
1660571259.959,286.133,315.918,-991.699,138.184
1660571259.963,-997.559,-981.934,-1000.000,-73.242
1660571259.967,-1000.000,-1000.000,-1000.000,-145.508
1660571259.971,-3.418,-87.891,-1000.000,-4.395
1660571259.975,-813.965,-800.781,-1000.000,71.289
1660571259.932,351.074,285.645,-287.598,-143.555
1660571259.936,-806.641,-803.711,-411.621,-30.762
1660571259.940,260.742,518.066,-384.277,29.297
1660571259.944,-999.512,-805.176,-258.789,-61.035
1660571259.948,-1000.000,-1000.000,-528.809,-83.496
1660571259.952,65.918,-100.098,-916.504,34.180
1660571259.956,-816.406,-811.523,-1000.000,166.504
1660571259.959,286.133,315.918,-991.699,138.184
1660571259.963,-997.559,-981.934,-1000.000,-73.242
1660571259.967,-1000.000,-1000.000,-1000.000,-145.508
1660571259.971,-3.418,-87.891,-1000.000,-4.395
1660571259.975,-813.965,-800.781,-1000.000,71.289
1660571259.932,351.074,285.645,-287.598,-143.555
1660571259.936,-806.641,-803.711,-411.621,-30.762
1660571259.940,260.742,518.066,-384.277,29.297
1660571259.944,-999.512,-805.176,-258.789,-61.035
1660571259.948,-1000.000,-1000.000,-528.809,-83.496
1660571259.952,65.918,-100.098,-916.504,34.180
1660571259.956,-816.406,-811.523,-1000.000,166.504
1660571259.959,286.133,315.918,-991.699,138.184
1660571259.963,-997.559,-981.934,-1000.000,-73.242
1660571259.967,-1000.000,-1000.000,-1000.000,-145.508
1660571259.971,-3.418,-87.891,-1000.000,-4.395
1660571259.975,-813.965,-800.781,-1000.000,71.289
1660571259.977,78.613,165.039,-1000.000,-207.520
1660571259.981,-1000.000,-1000.000,-1000.000,-543.457
1660571259.985,-1000.000,-1000.000,-1000.000,-662.109
1660571259.989,-633.789,-451.172,-1000.000,-577.637
1660571259.993,943.359,-919.434,-1000.000,-288.574
1660571259.997,365.234,502.441,-1000.000,-81.055
1660571260.001,-1000.000,-924.805,-1000.000,-74.707
1660571260.004,-1000.000,-1000.000,-1000.000,-60.547
1660571260.008,-555.664,-135.742,-1000.000,60.547
1660571260.012,848.145,-942.871,-1000.000,205.566
1660571260.016,742.676,898.926,-1000.000,324.707
1660571260.020,-640.625,-346.191,-1000.000,252.930
1660571259.977,78.613,165.039,-1000.000,-207.520
1660571259.981,-1000.000,-1000.000,-1000.000,-543.457
1660571259.985,-1000.000,-1000.000,-1000.000,-662.109
1660571259.989,-633.789,-451.172,-1000.000,-577.637
1660571259.993,943.359,-919.434,-1000.000,-288.574
1660571259.997,365.234,502.441,-1000.000,-81.055
1660571260.001,-1000.000,-924.805,-1000.000,-74.707
1660571260.004,-1000.000,-1000.000,-1000.000,-60.547
1660571260.008,-555.664,-135.742,-1000.000,60.547
1660571260.012,848.145,-942.871,-1000.000,205.566
1660571260.016,742.676,898.926,-1000.000,324.707
1660571260.020,-640.625,-346.191,-1000.000,252.930
1660571259.977,78.613,165.039,-1000.000,-207.520
1660571259.981,-1000.000,-1000.000,-1000.000,-543.457
1660571259.985,-1000.000,-1000.000,-1000.000,-662.109
1660571259.989,-633.789,-451.172,-1000.000,-577.637
1660571259.993,943.359,-919.434,-1000.000,-288.574
1660571259.997,365.234,502.441,-1000.000,-81.055
1660571260.001,-1000.000,-924.805,-1000.000,-74.707
1660571260.004,-1000.000,-1000.000,-1000.000,-60.547
1660571260.008,-555.664,-135.742,-1000.000,60.547
1660571260.012,848.145,-942.871,-1000.000,205.566
1660571260.016,742.676,898.926,-1000.000,324.707
1660571260.020,-640.625,-346.191,-1000.000,252.930
1660571260.022,-1000.000,-1000.000,-1000.000,106.445
1660571260.026,-488.770,-354.004,-1000.000,161.621
1660571260.030,855.469,915.527,-1000.000,280.762
1660571260.034,993.652,-907.715,-1000.000,365.723
1660571260.038,-245.117,-15.625,-1000.000,302.734
1660571260.042,-1000.000,-1000.000,-995.605,188.477
1660571260.046,-335.449,-177.246,-1000.000,310.059
1660571260.049,901.367,988.281,-972.656,532.715
